match_no,innings,over,runs,wickets
33,2,17,1,1
33,2,18,2,1
33,2,19,2,1
34,1,1,7,0
34,1,2,4,0
34,1,3,9,0
34,1,4,11,0
34,1,5,14,0
34,1,6,12,0
34,1,7,4,0
34,1,8,17,0
34,1,9,16,0
34,1,10,10,0
34,1,11,12,0
34,1,12,5,0
34,1,13,10,1
34,1,14,10,0
34,1,15,14,0
34,1,16,15,1
34,1,17,4,0
34,1,18,5,1
34,1,19,8,0
34,1,20,18,0
34,2,1,5,0
34,2,2,10,0
34,2,3,11,1
34,2,4,14,0
34,2,5,10,0
34,2,6,8,0
34,2,7,12,0
34,2,8,13,0
34,2,9,19,0
34,2,10,16,0
34,2,11,13,0
34,2,12,3,0
34,2,13,7,1
34,2,14,17,1
34,2,15,13,1
34,2,16,4,1
34,2,17,9,0
34,2,18,15,0
34,2,19,7,0
35,1,1,8,0
35,1,2,15,0
35,1,3,12,1
35,1,4,10,0
35,1,5,16,0
35,1,6,7,0
35,1,7,10,0
35,1,8,9,0
35,1,9,7,0
35,1,10,8,0
35,1,11,12,0
35,1,12,28,0
35,1,13,11,0
35,1,14,20,0
35,1,15,16,0
35,1,16,24,0
35,1,17,13,0
35,1,18,12,0
35,1,19,17,1
35,1,20,9,0
35,2,1,15,0
35,2,2,21,0
35,2,3,20,0
35,2,4,27,0
35,2,5,9,0
35,2,6,24,0
35,2,7,11,1
35,2,8,7,1
35,2,9,9,0
35,2,10,4,1
35,2,11,14,0
35,2,12,12,0
35,2,13,4,0
35,2,14,16,0
35,2,15,10,1
35,2,16,23,0
35,2,17,16,0
35,2,18,10,0
35,2,19,13,0
36,1,1,25,0
36,1,2,11,0
36,1,3,6,1
36,1,4,9,0
36,1,5,12,0
36,1,6,13,0
36,1,7,16,0
36,1,8,3,0
36,1,9,9,0
36,1,10,8,0
36,1,11,15,0
36,1,12,15,0
36,1,13,11,1
36,1,14,22,1
36,1,15,9,0
36,1,16,7,0
36,1,17,4,1
36,1,18,18,0
36,1,19,5,1
36,1,20,10,1
36,2,1,13,1
36,2,2,13,0
36,2,3,12,0
36,2,4,19,0
36,2,5,13,0
36,2,6,19,0
36,2,7,12,0
36,2,8,11,0
36,2,9,13,0
36,2,10,14,1
36,2,11,16,0
36,2,12,11,0
36,2,13,1,1
36,2,14,13,0
36,2,15,8,0
36,2,16,5,0
36,2,17,20,0
36,2,18,7,2
36,2,19,9,0
37,1,1,1,0
37,1,2,10,0
37,1,3,10,0
37,1,4,4,2
37,1,5,1,1
37,1,6,2,0
37,1,7,5,0
37,1,8,3,0
37,1,9,2,1
37,1,10,5,0
37,1,11,2,0
37,1,12,6,0
37,1,13,15,0
37,1,14,9,0
37,1,15,21,0
37,1,16,6,1
37,1,17,11,0
37,1,18,9,1
37,1,19,21,1
37,1,20,15,0
37,2,1,11,0
37,2,2,2,0
37,2,3,17,0
37,2,4,1,0
37,2,5,11,0
37,2,6,13,0
37,2,7,5,1
37,2,8,9,0
37,2,9,6,0
37,2,10,7,0
37,2,11,11,0
37,2,12,9,0
37,2,13,16,0
37,2,14,11,0
37,2,15,9,0
37,2,16,16,0
37,2,17,8,1
38,1,1,2,0
38,1,2,1,1
38,1,3,10,0
38,1,4,8,1
38,1,5,6,1
38,1,6,4,0
38,1,7,6,1
38,1,8,6,0
38,1,9,16,0
38,1,10,5,0
